[00:16:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Iron Ingot'/2515545, l='ServerLevel[ZaWarudo]', x=-47.20, y=74.00, z=48.94]
[20:16:00] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[20:16:26] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[20:31:59] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[20:32:22] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[20:33:55] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[21:08:24] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[21:12:28] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[21:59:00] [Server thread/INFO]: Villager class_1646['Villager'/2144469, l='ServerLevel[ZaWarudo]', x=-58.76, y=69.48, z=138.16] died, message: 'Villager was squished too much'
[22:51:16] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[22:51:23] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[22:54:15] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[22:54:24] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[22:57:32] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=965, y=69, z=448} class_2338{x=967, y=67, z=448}
[23:17:14] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[23:18:49] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[23:19:48] [Server thread/WARN]: tomisherio moved wrongly!
[23:26:32] [Server thread/WARN]: tomisherio moved wrongly!
[23:31:19] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[23:32:02] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[23:48:33] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
